CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,STANDARD_CONCEPT,CONCEPT_CODE,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
581477,Office Visit,Visit,Visit,Visit,S,OMOP4822458,22086066,1470525,2000-04-14,2026-04-09
9202,Outpatient Visit,Visit,Visit,Visit,S,OP,4742097,934774,2000-06-13,2026-06-17
32036,Laboratory Visit,Visit,Visit,Visit,S,OMOP4822461,3319527,521717,2006-06-07,2026-03-06
9203,Emergency Room Visit,Visit,Visit,Visit,S,ER,1760966,564772,2000-05-25,2026-03-04
9201,Inpatient Visit,Visit,Visit,Visit,S,IP,791255,480112,1946-05-27,2026-03-08
262,Emergency Room and Inpatient Visit,Visit,Visit,Visit,S,ERIP,435910,232829,2003-07-14,2026-03-04
581479,Ambulatory Rehabilitation Visit,Visit,Visit,Visit,S,OMOP4822456,305533,100828,2000-09-18,2026-02-25
581458,Pharmacy visit,Visit,Visit,Visit,S,OMOP4822462,77991,22776,2014-12-04,2026-04-10
581385,Observation Room,Visit,CMS Place of Service,Visit,S,OMOP4822036,11196,10358,2005-09-27,2026-03-02
