CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,STANDARD_CONCEPT,CONCEPT_CODE,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
2719881.0,"Hand finger orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3913,2767,2537,2009-12-16,2026-02-06
40664904.0,"Injection, gadobutrol, 0.1 ml",Device,HCPCS,HCPCS,S,A9585,2749,2641,2019-11-21,2026-01-21
2614937.0,"Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler",Device,HCPCS,HCPCS,S,A4627,2683,2556,2009-12-29,2026-02-12
2614783.0,"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each",Device,HCPCS,HCPCS,S,A4357,2640,846,2010-01-07,2026-02-05
2614899.0,"Electrodes, (e.g., apnea monitor), per pair",Device,HCPCS,HCPCS,S,A4556,2553,775,2010-01-05,2018-03-02
2720421.0,"Prosthetic sock, multiple ply, below knee, each",Device,HCPCS,HCPCS,S,L8420,2548,1260,2010-02-04,2026-02-05
1314290.0,"Gallium ga-68, dotatate, diagnostic, 0.1 millicurie",Device,HCPCS,HCPCS,S,A9587,2542,1213,2017-06-06,2026-02-13
2614784.0,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each",Device,HCPCS,HCPCS,S,A4358,2427,769,2010-01-07,2026-02-05
2615324.0,"Technetium tc-99m tetrofosmin, diagnostic, per study dose",Device,HCPCS,HCPCS,S,A9502,2290,2210,2010-02-04,2026-02-13
2720068.0,"Addition to lower extremity, below knee/above knee, custom fabricated from existing mold or prefabricated, socket insert, silicone gel, elastomeric or equal, for use with locking mechanism",Device,HCPCS,HCPCS,S,L5673,2263,951,2010-02-04,2026-02-16
2721924.0,"Dispensing fee, unspecified hearing aid",Device,HCPCS,HCPCS,S,V5090,2141,1961,2015-01-23,2026-02-16
2719891.0,"Hand finger orthosis, without joints, may include soft interface, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Device,HCPCS,HCPCS,S,L3923,2046,1913,2009-11-09,2026-01-30
2615031.0,"Gloves, non-sterile, per 100",Device,HCPCS,HCPCS,S,A4927,2027,1682,2010-01-20,2026-02-05
2721399.0,"Gradient pressure aid (glove), ready made",Device,HCPCS,HCPCS,S,S8427,2023,1749,2016-03-03,2026-02-12
1314285.0,"Belt, strap, sleeve, garment, or covering, any type",Device,HCPCS,HCPCS,S,A4467,1947,1740,2010-01-25,2026-02-04
2721961.0,"Hearing aid, digital, binaural, bte",Device,HCPCS,HCPCS,S,V5261,1890,1730,2015-01-06,2026-02-16
2719585.0,"Knee orthosis, elastic with joints, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Device,HCPCS,HCPCS,S,L1810,1815,1699,2009-12-14,2025-12-18
2719616.0,"Afo, rigid anterior tibial section, total carbon fiber or equal material, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L1932,1758,1582,2009-12-24,2026-02-12
2615071.0,"For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe",Device,HCPCS,HCPCS,S,A5500,1721,1042,2010-01-27,2026-02-13
2719615.0,"Ankle foot orthosis, plastic or other material, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L1930,1683,1584,2009-12-30,2026-02-03
2720427.0,"Prosthetic sock, single ply, fitting, below knee, each",Device,HCPCS,HCPCS,S,L8470,1682,750,2010-02-04,2026-02-05
2720066.0,"Addition to lower extremity, below knee / above knee suspension locking mechanism (shuttle, lanyard or equal), excludes socket insert",Device,HCPCS,HCPCS,S,L5671,1680,912,2010-02-04,2026-02-16
2719961.0,"Ankle control orthosis, stirrup style, rigid, includes any type interface (e.g., pneumatic, gel), prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L4350,1657,1577,2010-02-11,2023-10-30
44786589.0,"Knee orthosis, elastic with joints, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L1812,1591,1514,2014-09-26,2026-02-03
2719552.0,"Addition to tlso, (low profile), anterior thoracic extension",Device,HCPCS,HCPCS,S,L1220,1570,1553,2010-07-14,2025-10-10
2614911.0,"Special casting material (e.g., fiberglass)",Device,HCPCS,HCPCS,S,A4590,1553,1196,2010-02-16,2024-05-15
2721871.0,"Telescopic and other compound lens system, including distance vision telescopic, near vision telescopes and compound microscopic lens system",Device,HCPCS,HCPCS,S,V2615,1507,1365,2010-02-02,2026-02-13
2719893.0,"Finger orthosis, proximal interphalangeal (pip)/distal interphalangeal (dip), non torsion joint/spring, extension/flexion, may include soft interface material, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L3925,1503,1283,2009-12-22,2026-02-09
2720424.0,"Prosthetic shrinker, below knee, each",Device,HCPCS,HCPCS,S,L8440,1439,850,2009-12-29,2026-02-16
2720035.0,"Addition to lower extremity, below knee, total contact",Device,HCPCS,HCPCS,S,L5637,1390,694,2010-02-04,2026-02-05
