SOURCE_VALUE,SOURCE_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_NAME,MAPPED_STANDARD_VOCABULARY_ID,MAPPED_STANDARD_CONCEPT_CODE,MAPPED_STANDARD_CONCEPT_FLAG,TOTAL_ROWS
94350-6,36660007,36660007,PCA-1 IgG Ab [Titer] in Serum by Immunofluorescence,LOINC,94350-6,S,2
94358-9,36660108,36660108,Neuronal nuclear type 3 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,LOINC,94358-9,S,2
14759-5,3016701,3016701,Glucose [Moles/volume] in Serum or Plasma --2 hours post dose glucose,LOINC,14759-5,S,2
26545-4,3019571,3019571,Glucose [Mass/volume] in Urine --6 hours post dose glucose,LOINC,26545-4,S,2
94343-1,36660256,36660256,Neuronal nuclear type 2 IgG Ab [Titer] in Serum by Immunofluorescence,LOINC,94343-1,S,2
94344-9,36660678,36660678,Neuronal nuclear type 3 IgG Ab [Titer] in Serum by Immunofluorescence,LOINC,94344-9,S,2
94364-7,36660576,36660576,PCA-2 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,LOINC,94364-7,S,2
94341-5,36659969,36659969,Glial nuclear type 1 IgG Ab [Titer] in Serum by Immunofluorescence,LOINC,94341-5,S,2
94357-1,36659640,36659640,Neuronal nuclear type 2 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,LOINC,94357-1,S,2
94706-9,36660555,36660555,CV2 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,LOINC,94706-9,S,2
94362-1,36660370,36660370,PCA-Tr IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,LOINC,94362-1,S,2
94354-8,36660072,36660072,Amphiphysin IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,LOINC,94354-8,S,2
8280-0,3016258,3016258,Waist Circumference at umbilicus by Tape measure,LOINC,8280-0,S,1
79646-6,21491311,21491311,Delta aminolevulinate [Moles/volume] in Serum or Plasma,LOINC,79646-6,S,1
14756-1,3015024,3015024,Glucose [Moles/volume] in Serum or Plasma --1 hour post dose glucose,LOINC,14756-1,S,1
17474-8,3008769,3008769,Porphobilinogen [Moles/volume] in Serum or Plasma,LOINC,17474-8,S,1
14765-2,3017589,3017589,Glucose [Moles/volume] in Serum or Plasma --3 hours post dose glucose,LOINC,14765-2,S,1
