SOURCE_VALUE,SOURCE_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_NAME,MAPPED_STANDARD_VOCABULARY_ID,MAPPED_STANDARD_CONCEPT_CODE,MAPPED_STANDARD_CONCEPT_FLAG,TOTAL_ROWS
5769-5,3025255,3025255,Bacteria [#/area] in Urine sediment by Microscopy high power field,LOINC,5769-5,S,767417
44971-0,3045676,3045676,Capillary refill [Time],LOINC,44971-0,S,757536
8831-0,3035146,3035146,Systemic vascular Resistance,LOINC,8831-0,S,754042
8837-7,3008047,3008047,Systemic vascular Resistance index,LOINC,8837-7,S,752726
8591-0,3000333,3000333,Central venous pressure (CVP) Mean,LOINC,8591-0,S,745243
99735-3,1989402,1989402,Ultrafiltrate volume removed 1 hour,LOINC,99735-3,S,742443
76248-4,21490855,21490855,PEEP Respiratory system --on ventilator,LOINC,76248-4,S,728113
34581-9,3044331,3044331,Calcium.ionized [Moles/volume] in Arterial blood,LOINC,34581-9,S,707287
99731-2,1988373,1988373,Pressure drop Renal replacement therapy circuit,LOINC,99731-2,S,701246
2157-6,3007220,3007220,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,LOINC,2157-6,S,689318
8636-3,3026258,3026258,Q-T interval corrected,LOINC,8636-3,S,680530
8601-7,3020019,3020019,EKG impression,LOINC,8601-7,S,680530
8632-2,3006277,3006277,QRS axis,LOINC,8632-2,S,680530
76634-5,46235173,46235173,Q-T interval corrected based on Fridericia formula,LOINC,76634-5,S,680530
76635-2,46235174,46235174,Q-T interval corrected based on Bazett formula,LOINC,76635-2,S,680530
8626-4,3006698,3006698,P wave axis,LOINC,8626-4,S,680529
8638-9,3027358,3027358,T wave axis,LOINC,8638-9,S,680529
8637-1,3013078,3013078,R-R interval by EKG,LOINC,8637-1,S,680529
8624-9,3004699,3004699,PP interval,LOINC,8624-9,S,680527
57416-0,40760528,40760528,Thyrotropin receptor Ab [Units/volume] in Serum by Immunoassay,LOINC,57416-0,S,672155
67151-1,40769783,40769783,Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,LOINC,67151-1,S,666200
60956-0,21490653,21490653,Intracranial pressure (ICP),LOINC,60956-0,S,649754
101692-2,3966129,3966129,Maximum heart rate,LOINC,101692-2,S,642630
20074-1,3010742,3010742,Negative inspiratory pressure setting Ventilator,LOINC,20074-1,S,620277
3024-7,3008598,3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,LOINC,3024-7,S,620100
2161-8,3017250,3017250,Creatinine [Mass/volume] in Urine,LOINC,2161-8,S,617565
99741-1,1988590,1988590,Ultrafiltrate volume removed,LOINC,99741-1,S,609321
94500-6,706163,706163,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,LOINC,94500-6,S,602413
1989-3,3020149,3020149,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,LOINC,1989-3,S,593334
61017-0,21490695,21490695,Cerebral perfusion pressure,LOINC,61017-0,S,580272
65643-9,40768334,40768334,Relative humidity,LOINC,65643-9,S,558840
75929-0,21490722,21490722,Relative humidity Infant microenvironment.incubator,LOINC,75929-0,S,558840
14804-9,3022250,3022250,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,LOINC,14804-9,S,550871
7791-7,3000456,3000456,Dacrocytes [Presence] in Blood by Light microscopy,LOINC,7791-7,S,537358
800-3,3019880,3019880,Schistocytes [Presence] in Blood by Light microscopy,LOINC,800-3,S,518847
2021-4,3021447,3021447,Carbon dioxide [Partial pressure] in Venous blood,LOINC,2021-4,S,503585
19254-2,3013702,3013702,Oxygen [Partial pressure] adjusted to patient's actual temperature in Blood,LOINC,19254-2,S,494927
3271-4,3006792,3006792,LMW Heparin [Units/volume] in Platelet poor plasma by Chromogenic method,LOINC,3271-4,S,488203
2132-9,3000593,3000593,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,LOINC,2132-9,S,486005
771-6,3007238,3007238,Nucleated erythrocytes [#/volume] in Blood by Automated count,LOINC,771-6,S,473872
11253-2,3026250,3026250,Tacrolimus [Mass/volume] in Blood,LOINC,11253-2,S,469241
2524-7,3014111,3014111,Lactate [Moles/volume] in Serum or Plasma,LOINC,2524-7,S,448783
10839-9,3021337,3021337,Troponin I.cardiac [Mass/volume] in Serum or Plasma,LOINC,10839-9,S,429030
3034-6,3004789,3004789,Transferrin [Mass/volume] in Serum or Plasma,LOINC,3034-6,S,421942
3040-3,3004905,3004905,Lipase [Enzymatic activity/volume] in Serum or Plasma,LOINC,3040-3,S,420728
16128-1,3017143,3017143,Hepatitis C virus Ab [Presence] in Serum,LOINC,16128-1,S,417090
2888-6,3037121,3037121,Protein [Mass/volume] in Urine,LOINC,2888-6,S,416332
30934-4,3011960,3011960,Natriuretic peptide B [Mass/volume] in Serum or Plasma,LOINC,30934-4,S,405317
2498-4,3002400,3002400,Iron [Mass/volume] in Serum or Plasma,LOINC,2498-4,S,400922
2615-3,3006217,3006217,Methemoglobin/Hemoglobin.total in Arterial blood,LOINC,2615-3,S,400253
3397-7,3016879,3016879,Cocaine [Presence] in Urine,LOINC,3397-7,S,398201
3879-4,3027008,3027008,Opiates [Presence] in Urine,LOINC,3879-4,S,398152
3390-2,3000764,3000764,Benzodiazepines [Presence] in Urine,LOINC,3390-2,S,398143
3377-9,3002020,3002020,Barbiturates [Presence] in Urine,LOINC,3377-9,S,398137
3349-8,3027944,3027944,Amphetamines [Presence] in Urine,LOINC,3349-8,S,397656
1988-5,3020460,3020460,C reactive protein [Mass/volume] in Serum or Plasma,LOINC,1988-5,S,396759
2500-7,3021044,3021044,Iron binding capacity [Mass/volume] in Serum or Plasma,LOINC,2500-7,S,394897
2502-3,3000185,3000185,Iron saturation [Mass Fraction] in Serum or Plasma,LOINC,2502-3,S,394850
3427-2,3028300,3028300,Cannabinoids [Presence] in Urine,LOINC,3427-2,S,393270
11579-0,3019762,3019762,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L,LOINC,11579-0,S,385526
3773-9,3036180,3036180,Methadone [Presence] in Urine,LOINC,3773-9,S,384653
2030-5,3028653,3028653,Carboxyhemoglobin/Hemoglobin.total in Arterial blood,LOINC,2030-5,S,382309
749-2,3018229,3018229,Myelocytes/100 leukocytes in Blood by Manual count,LOINC,749-2,S,381661
20567-4,3015242,3015242,Ferritin [Mass/volume] in Serum or Plasma by Immunoassay,LOINC,20567-4,S,376921
58413-6,40761514,40761514,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count,LOINC,58413-6,S,361992
3255-7,3016407,3016407,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,LOINC,3255-7,S,359174
10381-2,3025616,3025616,Target cells [Presence] in Blood by Light microscopy,LOINC,10381-2,S,352324
57653-8,40760765,40760765,Tidal volume.spontaneous minimum setting Ventilator alarm,LOINC,57653-8,S,335628
5196-1,3019510,3019510,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay,LOINC,5196-1,S,332471
19878-8,3033557,3033557,Carbon dioxide [Partial pressure] (8 hour maximum) in Capillary blood Transcutaneous CO2 monitor,LOINC,19878-8,S,332370
19880-4,3003042,3003042,Carbon dioxide [Partial pressure] (8 hour minimum) in Capillary blood Transcutaneous CO2 monitor,LOINC,19880-4,S,331950
14627-4,3027273,3027273,Bicarbonate [Moles/volume] in Venous blood,LOINC,14627-4,S,326208
2705-2,3024354,3024354,Oxygen [Partial pressure] in Venous blood,LOINC,2705-2,S,323723
1927-3,3002032,3002032,Base excess in Venous blood by calculation,LOINC,1927-3,S,322394
3084-1,3037556,3037556,Urate [Mass/volume] in Serum or Plasma,LOINC,3084-1,S,322357
15321-3,3023725,3023725,Urinary bladder Volume by derived by EMP (US),LOINC,15321-3,S,320281
2106-3,3018954,3018954,Choriogonadotropin (pregnancy test) [Presence] in Urine,LOINC,2106-3,S,319777
13969-1,3005785,3005785,Creatine kinase.MB [Mass/volume] in Serum or Plasma,LOINC,13969-1,S,318535
2746-6,3012544,3012544,pH of Venous blood,LOINC,2746-6,S,314820
9217-1,3011087,3011087,Output.stool [Volume],LOINC,9217-1,S,313170
19642-8,3021016,3021016,oxyCODONE [Presence] in Urine by Screen method,LOINC,19642-8,S,309300
2716-9,3019230,3019230,Fractional oxyhemoglobin in Venous blood,LOINC,2716-9,S,306504
60841-4,40763791,40763791,Oxygen content in Venous blood by calculation,LOINC,60841-4,S,305926
10976-9,3028741,3028741,6-Monoacetylmorphine (6-MAM) [Presence] in Urine,LOINC,10976-9,S,300310
3414-0,3007463,3007463,Buprenorphine [Presence] in Urine,LOINC,3414-0,S,300305
740-1,3000666,3000666,Metamyelocytes/100 leukocytes in Blood by Manual count,LOINC,740-1,S,292963
764-1,3007591,3007591,Band form neutrophils/100 leukocytes in Blood by Manual count,LOINC,764-1,S,282514
5908-9,3018528,3018528,Giant platelets [Presence] in Blood by Light microscopy,LOINC,5908-9,S,278401
728-6,3021303,3021303,Hypochromia [Presence] in Blood by Light microscopy,LOINC,728-6,S,276888
4537-7,3013707,3013707,Erythrocyte sedimentation rate by Westergren method,LOINC,4537-7,S,272422
2857-1,3013603,3013603,Prostate specific Ag [Mass/volume] in Serum or Plasma,LOINC,2857-1,S,269466
2324-2,3026910,3026910,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,LOINC,2324-2,S,269350
38483-4,3051825,3051825,Creatinine [Mass/volume] in Blood,LOINC,38483-4,S,260454
738-5,3021502,3021502,Macrocytes [Presence] in Blood by Light microscopy,LOINC,738-5,S,255649
49580-4,3032965,3032965,HIV 1+2 Ab [Presence] in Specimen by Rapid immunoassay,LOINC,49580-4,S,253871
12308-3,3034223,3034223,HYDROcodone [Presence] in Urine,LOINC,12308-3,S,252443
741-9,3037885,3037885,Microcytes [Presence] in Blood by Light microscopy,LOINC,741-9,S,246966
24110-9,3011520,3011520,Treponema pallidum Ab [Presence] in Serum by Immunoassay,LOINC,24110-9,S,246614
39122-7,3039001,3039001,Fluid output wound drain Estimated,LOINC,39122-7,S,245331
56888-1,40760007,40760007,HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay,LOINC,56888-1,S,244752
6793-4,3017925,3017925,Prealbumin [Mass/volume] in Serum or Plasma by Immunoassay,LOINC,6793-4,S,242404
2284-8,3036987,3036987,Folate [Mass/volume] in Serum or Plasma,LOINC,2284-8,S,236342
1754-1,3012516,3012516,Albumin [Mass/volume] in Urine,LOINC,1754-1,S,233409
7790-9,3005854,3005854,Burr cells [Presence] in Blood by Light microscopy,LOINC,7790-9,S,232512
101864-7,3964677,3964677,Oxygen/Total gas setting ECMO device,LOINC,101864-7,S,228624
8287-5,3001537,3001537,Head Occipital-frontal circumference by Tape measure,LOINC,8287-5,S,226291
3184-9,3016948,3016948,Activated clotting time (ACT) of Blood by Coagulation assay,LOINC,3184-9,S,225553
5643-2,3012920,3012920,Ethanol [Mass/volume] in Serum or Plasma,LOINC,5643-2,S,224067
9195-9,3016267,3016267,Urine output by in and out urethral catheter,LOINC,9195-9,S,223362
9257-7,3018366,3018366,Fluid output total Measured,LOINC,9257-7,S,220549
22322-2,3017797,3017797,Hepatitis B virus surface Ab [Presence] in Serum,LOINC,22322-2,S,219422
48065-7,3051714,3051714,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,LOINC,48065-7,S,213615
8453-3,3034703,3034703,Diastolic blood pressure--sitting,LOINC,8453-3,S,211684
41650-3,3031248,3031248,Chloride [Moles/volume] in Arterial blood,LOINC,41650-3,S,209504
9229-6,3004267,3004267,Output.colostomy [Volume],LOINC,9229-6,S,208630
24111-7,3011371,3011371,Neisseria gonorrhoeae DNA [Presence] in Specimen by NAA with probe detection,LOINC,24111-7,S,207609
1798-8,3016771,3016771,Amylase [Enzymatic activity/volume] in Serum or Plasma,LOINC,1798-8,S,206992
75958-9,21490752,21490752,Tidal volume expired Respiratory system airway,LOINC,75958-9,S,200552
75951-4,21490745,21490745,Skin temperature setting Infant microenvironment,LOINC,75951-4,S,200308
20564-1,3013502,3013502,Oxygen saturation in Blood,LOINC,20564-1,S,190576
16935-9,3023421,3023421,Hepatitis B virus surface Ab [Units/volume] in Serum,LOINC,16935-9,S,187855
31208-2,3015746,3015746,Specimen source identified,LOINC,31208-2,S,182824
5048-4,3002971,3002971,Nuclear Ab [Titer] in Serum by Immunofluorescence,LOINC,5048-4,S,169382
15192-8,3017963,3017963,Variant lymphocytes [Presence] in Blood by Automated count,LOINC,15192-8,S,167808
17849-1,3007124,3007124,Reticulocytes/100 erythrocytes in Blood by Automated count,LOINC,17849-1,S,166846
60474-4,40763528,40763528,Reticulocytes [#/volume] in Blood by Automated count,LOINC,60474-4,S,165745
14196-0,3023520,3023520,Reticulocytes [#/volume] in Blood,LOINC,14196-0,S,165714
8459-0,3018586,3018586,Systolic blood pressure--sitting,LOINC,8459-0,S,164014
2731-8,3000067,3000067,Parathyrin.intact [Mass/volume] in Serum or Plasma,LOINC,2731-8,S,162987
19212-0,3021513,3021513,Carbon dioxide [Partial pressure] in Mixed venous blood,LOINC,19212-0,S,162580
19213-8,3012388,3012388,pH of Mixed venous blood,LOINC,19213-8,S,162497
19229-4,3025817,3025817,Bicarbonate [Moles/volume] in Mixed venous blood,LOINC,19229-4,S,162439
2069-3,3018572,3018572,Chloride [Moles/volume] in Blood,LOINC,2069-3,S,161745
19211-2,3038071,3038071,Oxygen [Partial pressure] in Mixed venous blood,LOINC,19211-2,S,159565
59673-4,40762735,40762735,fentaNYL [Presence] in Urine by Screen method,LOINC,59673-4,S,155318
4092-3,3018920,3018920,Vancomycin [Mass/volume] in Serum or Plasma --trough,LOINC,4092-3,S,154286
19234-4,3023001,3023001,Base excess in Mixed venous blood by calculation,LOINC,19234-4,S,152785
1834-1,3009306,3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,LOINC,1834-1,S,151832
2955-3,3003181,3003181,Sodium [Moles/volume] in Urine,LOINC,2955-3,S,150834
49563-0,3032971,3032971,Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL,LOINC,49563-0,S,149721
9318-7,3034485,3034485,Albumin/Creatinine [Mass Ratio] in Urine,LOINC,9318-7,S,149013
76009-0,42527121,42527121,Inspired minute Volume during Mechanical ventilation,LOINC,76009-0,S,147626
2465-3,3005719,3005719,IgG [Mass/volume] in Serum or Plasma,LOINC,2465-3,S,145046
79553-4,21491177,21491177,Fluid output emesis [#],LOINC,79553-4,S,141299
2890-2,3001582,3001582,Protein/Creatinine [Mass Ratio] in Urine,LOINC,2890-2,S,136682
2276-4,3001122,3001122,Ferritin [Mass/volume] in Serum or Plasma,LOINC,2276-4,S,135446
20055-0,3021748,3021748,Pressure minimum setting Ventilator alarm,LOINC,20055-0,S,132231
19224-5,3018465,3018465,Oxygen saturation in Mixed venous blood,LOINC,19224-5,S,132061
66748-5,40769408,40769408,Clot angle in Blood by Thromboelastography,LOINC,66748-5,S,131485
52778-8,3040808,3040808,Maximum clot firmness [Length] in Blood by Thromboelastography,LOINC,52778-8,S,131446
52768-9,3041078,3041078,Clot formation [Time] in Blood by Thromboelastography,LOINC,52768-9,S,131064
52789-5,3041952,3041952,Clot initiation [Time] in Blood by Thromboelastography,LOINC,52789-5,S,130978
64098-7,40766814,40766814,Six minute walk test,LOINC,64098-7,S,130265
1744-2,3027388,3027388,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,LOINC,1744-2,S,130204
20562-5,3036518,3036518,Left ventricular Stroke volume,LOINC,20562-5,S,126612
9274-2,3004221,3004221,5 minute Apgar Score,LOINC,9274-2,S,126050
76297-1,21490880,21490880,Left ventricular Stroke volume index,LOINC,76297-1,S,125863
2458-8,3007164,3007164,IgA [Mass/volume] in Serum or Plasma,LOINC,2458-8,S,124989
20447-9,3010747,3010747,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,LOINC,20447-9,S,124545
21613-5,3006093,3006093,Chlamydia trachomatis DNA [Presence] in Specimen by NAA with probe detection,LOINC,21613-5,S,123640
16362-6,3011958,3011958,Ammonia [Moles/volume] in Plasma,LOINC,16362-6,S,122465
2965-2,3033543,3033543,Specific gravity of Urine,LOINC,2965-2,S,120376
83367-3,42528496,42528496,Gas delivery system Fresh gas.air flow setting [Flow],LOINC,83367-3,S,118378
10380-4,3024783,3024783,Stomatocytes [Presence] in Blood by Light microscopy,LOINC,10380-4,S,117262
60952-9,21490651,21490651,Mean airway pressure --during inspiration,LOINC,60952-9,S,116019
20578-1,3005715,3005715,Vancomycin [Mass/volume] in Serum or Plasma,LOINC,20578-1,S,114336
5794-3,3011397,3011397,Hemoglobin [Presence] in Urine by Test strip,LOINC,5794-3,S,112656
5797-6,3023539,3023539,Ketones [Mass/volume] in Urine by Test strip,LOINC,5797-6,S,112654
5792-7,3024629,3024629,Glucose [Mass/volume] in Urine by Test strip,LOINC,5792-7,S,112646
60834-9,21490586,21490586,Blood temperature,LOINC,60834-9,S,109537
19926-5,3011505,3011505,FEV1/FVC,LOINC,19926-5,S,104570
8246-1,3007350,3007350,Amorphous sediment [Presence] in Urine sediment by Light microscopy,LOINC,8246-1,S,103780
2862-1,3028286,3028286,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,2862-1,S,102222
2871-2,3016520,3016520,Beta globulin [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,2871-2,S,102219
2874-6,3023465,3023465,Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,2874-6,S,102214
2868-8,3005229,3005229,Alpha 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,2868-8,S,102213
2865-4,3015322,3015322,Alpha 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,2865-4,S,102209
67848-2,40770446,40770446,Leukocyte clumps [Presence] in Urine sediment by Light microscopy,LOINC,67848-2,S,100248
66745-1,40769405,40769405,Clot Lysis [Length fraction] in Blood by Thromboelastography --30 minutes post maximum clot amplitude,LOINC,66745-1,S,98964
5778-6,3027162,3027162,Color of Urine,LOINC,5778-6,S,98230
32167-9,3008204,3008204,Clarity of Urine,LOINC,32167-9,S,98227
2472-9,3028026,3028026,IgM [Mass/volume] in Serum or Plasma,LOINC,2472-9,S,97988
11559-2,3014646,3014646,Fractional oxyhemoglobin in Blood,LOINC,11559-2,S,97237
64798-2,40767502,40767502,Oxygen content in Mixed venous blood by calculation,LOINC,64798-2,S,96671
72493-0,43055120,43055120,Cytomegalovirus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,LOINC,72493-0,S,96637
72828-7,43055688,43055688,Chlamydia trachomatis and Neisseria gonorrhoeae DNA panel - Specimen,LOINC,72828-7,S,94600
13952-7,3036282,3036282,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay,LOINC,13952-7,S,94143
2692-2,3008295,3008295,Osmolality of Serum or Plasma,LOINC,2692-2,S,93329
5796-8,3022509,3022509,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,LOINC,5796-8,S,90404
33223-9,3043722,3043722,Hyaline casts [#/area] in Urine sediment by Automated count,LOINC,33223-9,S,89724
38221-8,3035486,3035486,Pain severity Wong-Baker FACES pain rating scale,LOINC,38221-8,S,89704
24467-3,3028167,3028167,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,LOINC,24467-3,S,89365
8123-2,3014037,3014037,CD3+CD4+ (T4 helper) cells/100 cells in Blood,LOINC,8123-2,S,89348
81661-1,21493943,21493943,Blood loss [Volume] Measured,LOINC,81661-1,S,88395
32554-8,3006653,3006653,Thiamine [Moles/volume] in Blood,LOINC,32554-8,S,88131
8460-8,3035856,3035856,Systolic blood pressure--standing,LOINC,8460-8,S,87646
8454-1,3019962,3019962,Diastolic blood pressure--standing,LOINC,8454-1,S,87308
33425-0,3045410,3045410,Minute volume setting Ventilator,LOINC,33425-0,S,86501
40620-7,3042462,3042462,Carbon dioxide [Partial pressure] adjusted to patient's actual temperature in Capillary blood,LOINC,40620-7,S,86487
39485-8,3040135,3040135,pH of Capillary blood adjusted to patient's actual temperature,LOINC,39485-8,S,86454
1961-2,3015235,3015235,Bicarbonate [Moles/volume] in Capillary blood,LOINC,1961-2,S,86331
3051-0,3026925,3026925,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,LOINC,3051-0,S,85460
8430-1,3009435,3009435,Left ventricular Intrachamber systolic pressure,LOINC,8430-1,S,85401
31204-1,3013527,3013527,Hepatitis B virus core IgM Ab [Presence] in Serum,LOINC,31204-1,S,84280
32144-8,3038185,3038185,Pathologist review of serum or plasma results,LOINC,32144-8,S,84158
19832-5,3014498,3014498,Breath rate minimum setting Ventilator alarm,LOINC,19832-5,S,83893
2709-4,3021901,3021901,Oxygen saturation in Capillary blood,LOINC,2709-4,S,83479
19256-7,3019240,3019240,Oxygen [Partial pressure] adjusted to patient's actual temperature in Capillary blood,LOINC,19256-7,S,83274
2695-5,3026782,3026782,Osmolality of Urine,LOINC,2695-5,S,83031
94022-1,1002411,1002411,Depression score,LOINC,94022-1,S,82923
81662-9,21493944,21493944,Percentage of meal eaten,LOINC,81662-9,S,82875
61372-9,40764133,40764133,Human papilloma virus 16 DNA [Presence] in Specimen by NAA with probe detection,LOINC,61372-9,S,82734
61373-7,40764134,40764134,Human papilloma virus 18 DNA [Presence] in Specimen by NAA with probe detection,LOINC,61373-7,S,82732
19153-6,3004775,3004775,Volume in Urine collected for unspecified duration,LOINC,19153-6,S,82397
62292-8,40765040,40765040,25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma,LOINC,62292-8,S,81797
49054-0,3049536,3049536,25-hydroxyvitamin D2 [Mass/volume] in Serum or Plasma,LOINC,49054-0,S,81724
49896-4,3032431,3032431,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA [Presence] in Specimen by NAA with probe detection,LOINC,49896-4,S,81309
6556-5,3008350,21491660,Streptococcus pyogenes Ag [Presence] in Throat by Rapid immunoassay,LOINC,78012-2,S,80790
2143-6,3009682,3009682,Cortisol [Mass/volume] in Serum or Plasma,LOINC,2143-6,S,80779
33959-8,3046279,3046279,Procalcitonin [Mass/volume] in Serum or Plasma,LOINC,33959-8,S,79947
1926-5,3003129,3003129,Base excess in Capillary blood by calculation,LOINC,1926-5,S,79771
49275-1,3052992,3052992,Immunofixation for Serum or Plasma Narrative,LOINC,49275-1,S,79410
13362-9,3016750,3016750,Collection duration of Urine,LOINC,13362-9,S,77533
31147-2,3026501,3026501,Reagin Ab [Titer] in Serum by RPR,LOINC,31147-2,S,77481
22760-3,3001157,3023103,Potassium [Moles/volume] in Serum or Plasma,LOINC,2823-3,S,77324
8828-6,3013652,3013652,Pulmonary vascular Resistance,LOINC,8828-6,S,77198
2986-8,3008893,3008893,Testosterone [Mass/volume] in Serum or Plasma,LOINC,2986-8,S,77092
14771-0,3018251,3018251,Fasting glucose [Moles/volume] in Serum or Plasma,LOINC,14771-0,S,77011
39802-4,3043954,3043954,Creatinine in dialysis fluid/Creatinine in serum or plasma,LOINC,39802-4,S,76979
39789-3,3041354,3041354,Potassium [Moles/volume] in Venous blood,LOINC,39789-3,S,76436
18185-9,3012266,3012266,Gestational age,LOINC,18185-9,S,76260
47938-6,3053213,3053213,Specimen source [Identifier] of Body fluid,LOINC,47938-6,S,75755
709-6,3023643,3023643,Blasts/100 leukocytes in Blood by Manual count,LOINC,709-6,S,74723
11011-4,3018447,3018447,Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,LOINC,11011-4,S,72709
49316-3,3053000,3053000,Hemoglobin pattern [Interpretation] in Blood by Electrophoresis,LOINC,49316-3,S,71612
4552-6,3021009,3021009,Hemoglobin A2/Hemoglobin.total in Blood by Electrophoresis,LOINC,4552-6,S,71485
23905-3,3027653,3027653,Mycophenolate [Mass/volume] in Serum or Plasma,LOINC,23905-3,S,71197
41458-1,3031852,3031852,SARS coronavirus RNA [Presence] in Specimen by NAA with probe detection,LOINC,41458-1,S,70632
11050-2,3019812,3019812,Kappa light chains [Mass/volume] in Serum or Plasma,LOINC,11050-2,S,70337
15189-4,3007778,3007778,Kappa light chains/Lambda light chains [Mass Ratio] in Serum,LOINC,15189-4,S,70336
11051-0,3004640,3004640,Lambda light chains [Mass/volume] in Serum or Plasma,LOINC,11051-0,S,70330
41276-7,3039000,3039000,Anion gap in Blood,LOINC,41276-7,S,69567
4498-2,3017766,3017766,Complement C4 [Mass/volume] in Serum or Plasma,LOINC,4498-2,S,69406
51435-6,3029713,3029713,Protein.monoclonal band 1 [Mass/volume] in Serum or Plasma by Electrophoresis,LOINC,51435-6,S,69216
4485-9,3000620,3000620,Complement C3 [Mass/volume] in Serum or Plasma,LOINC,4485-9,S,68681
19877-0,3037879,3037879,Forced vital capacity [Volume] Respiratory system --pre bronchodilation,LOINC,19877-0,S,67539
19927-3,3011417,3011417,Gas flow FEV 25%-75%,LOINC,19927-3,S,67498
69971-0,42868460,42868460,FEF 25-75% Predicted,LOINC,69971-0,S,67497
721-1,3022493,3022493,Free Hemoglobin [Mass/volume] in Plasma,LOINC,721-1,S,66852
2889-4,3020876,3020876,Protein [Mass/time] in 24 hour Urine,LOINC,2889-4,S,65818
48054-1,3052068,3052068,Kaolin activated time [Units/volume] in Blood,LOINC,48054-1,S,65696
30341-2,3015183,3015183,Erythrocyte sedimentation rate,LOINC,30341-2,S,65412
81454-1,21493446,21493446,Residual volume/Total capacity --pre bronchodilation,LOINC,81454-1,S,65288
6299-2,3004295,3004295,Urea nitrogen [Mass/volume] in Blood,LOINC,6299-2,S,64875
9103-3,3037106,3037106,Fluid intake total Measured,LOINC,9103-3,S,64768
9241-1,3000152,3000152,Output.ileostomy [Volume],LOINC,9241-1,S,64574
20565-8,3014094,3014094,"Carbon dioxide, total [Moles/volume] in Blood",LOINC,20565-8,S,64372
75994-4,21490776,21490776,Pulmonary artery wedge pressure,LOINC,75994-4,S,64346
99685-0,1989527,1989527,Pacemaker rate,LOINC,99685-0,S,64313
41652-9,3033408,3033408,Glucose [Mass/volume] in Venous blood,LOINC,41652-9,S,62058
76087-6,46235766,46235766,Parainfluenza virus 4 RNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,76087-6,S,61992
77022-2,46234982,46234982,Respiratory syncytial virus A RNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,77022-2,S,61992
76086-8,46235765,46235765,Parainfluenza virus 3 RNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,76086-8,S,61991
88721-6,36304423,36304423,Rhinovirus+Enterovirus RNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,88721-6,S,61991
88718-2,36303621,36303621,Chlamydophila pneumoniae DNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,88718-2,S,61991
76084-3,46235763,46235763,Parainfluenza virus 1 RNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,76084-3,S,61990
77023-0,46234983,46234983,Respiratory syncytial virus B RNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,77023-0,S,61989
77024-8,46236734,46236734,Human metapneumovirus RNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,77024-8,S,61989
76085-0,46235764,46235764,Parainfluenza virus 2 RNA [Presence] in Nasopharynx by NAA with probe detection,LOINC,76085-0,S,61989
82177-7,21493343,21493343,Mycoplasma pneumoniae DNA [Presence] in Nasopharynx by NAA with non-probe detection,LOINC,82177-7,S,61989
20572-4,3009131,3009131,Hemoglobin A/Hemoglobin.total in Blood by Electrophoresis,LOINC,20572-4,S,61834
