ANCESTOR_CONCEPT_ID,ANCESTOR_CONCEPT_NAME,ANCESTOR_DOMAIN_ID,ANCESTOR_VOCABULARY_ID,ANCESTOR_CONCEPT_CLASS_ID,ANCESTOR_STANDARD_CONCEPT,ANCESTOR_CONCEPT_CODE,DESCENDANT_CONCEPTS_PRESENT,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
2615405,"Miscellaneous dme supply, accessory, and/or service component of another hcpcs code",Device,HCPCS,HCPCS,S,A9900,1,6381,3613,2009-07-07,2026-02-13
44786594,"Walking boot, pneumatic and/or vacuum, with or without joints, with or without interface material, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L4361,1,5881,5479,2014-09-15,2026-02-12
2719591,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Device,HCPCS,HCPCS,S,L1832,1,5045,4684,2009-11-09,2026-02-03
2719786,"Surgical boot/shoe, each",Device,HCPCS,HCPCS,S,L3260,1,4835,4296,2009-05-20,2026-02-04
2615214,"Gradient compression stocking, below knee, 18-30 mmhg, each",Device,HCPCS,HCPCS,S,A6530,1,4767,3774,2010-01-08,2026-02-11
2719901,"Finger orthosis, without joints, may include soft interface, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3933,1,4744,4281,2009-11-12,2026-02-12
2615217,"Gradient compression stocking, thigh length, 18-30 mmhg, each",Device,HCPCS,HCPCS,S,A6533,1,4329,3652,2010-01-26,2026-02-16
2719962,"Walking boot, pneumatic and/or vacuum, with or without joints, with or without interface material, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Device,HCPCS,HCPCS,S,L4360,1,4131,3771,2009-10-20,2026-01-20
2719856,"Wrist hand finger orthosis, rigid without joints, may include soft interface material; straps, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3808,1,4046,3679,2009-10-07,2026-02-11
2719969,"Static or dynamic ankle foot orthosis, including soft interface material, adjustable for fit, for positioning, may be used for minimal ambulation, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a speci...",Device,HCPCS,HCPCS,S,L4396,1,3685,3484,2010-01-07,2026-02-13
2719736,"Lower extremity orthoses, not otherwise specified",Device,HCPCS,HCPCS,S,L2999,1,3198,2735,2010-01-12,2026-01-29
2616646,"Oscillatory positive expiratory pressure device, non-electric, any type, each",Device,HCPCS,HCPCS,S,E0484,1,3068,2632,2015-12-09,2026-02-09
2719855,"Wrist hand finger orthosis, without joint(s), prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Device,HCPCS,HCPCS,S,L3807,1,2939,2729,2009-10-07,2026-01-29
2719881,"Hand finger orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3913,1,2767,2537,2009-12-16,2026-02-06
