ANCESTOR_CONCEPT_ID,ANCESTOR_CONCEPT_NAME,ANCESTOR_DOMAIN_ID,ANCESTOR_VOCABULARY_ID,ANCESTOR_CONCEPT_CLASS_ID,ANCESTOR_STANDARD_CONCEPT,ANCESTOR_CONCEPT_CODE,DESCENDANT_CONCEPTS_PRESENT,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
2720155,"All lower extremity prostheses, flex foot system",Device,HCPCS,HCPCS,S,L5980,1,108,97,2010-02-04,2021-02-26
801002,"Fluoroestradiol f 18, diagnostic, 1 millicurie",Device,HCPCS,HCPCS,S,A9591,1,107,79,2022-12-16,2026-02-12
2615290,"Tracheostoma stent/stud/button, each",Device,HCPCS,HCPCS,S,A7524,1,107,69,2014-05-07,2026-02-03
2719620,"Ankle foot orthosis, spiral, (institute of rehabilitative medicine type), plastic or other material, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L1951,1,105,102,2019-03-08,2026-02-04
2719463,"Tlso, triplanar control, hyperextension, rigid anterior and lateral frame extends from symphysis pubis to sternal notch with two anterior components (one pubic and one sternal), posterior and lateral pads with straps and closures, limits spinal flexion...",Device,HCPCS,HCPCS,S,L0472,1,104,102,2010-02-05,2026-02-16
2719611,"Ankle foot orthosis, multiligamentous ankle support, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L1906,1,103,100,2009-12-23,2023-04-18
2616991,Jaw motion rehabilitation system,Device,HCPCS,HCPCS,S,E1700,1,102,101,2011-07-11,2025-10-15
4124377,Venous catheter,Device,SNOMED,Physical Object,S,303728004,5,100,96,1986-11-30,2025-02-02
2616487,"Walker, folding (pickup), adjustable or fixed height",Device,HCPCS,HCPCS,S,E0135,1,98,98,2009-12-23,2025-10-07
2720433,Tracheostomy speaking valve,Device,HCPCS,HCPCS,S,L8501,1,98,82,2011-04-22,2026-02-12
2720052,"Addition to lower extremity, socket insert, below knee (kemblo, pelite, aliplast, plastazote or equal)",Device,HCPCS,HCPCS,S,L5655,1,97,90,2012-03-06,2025-12-10
2720130,"Addition to endoskeletal knee-shin system, fluid stance extension, dampening feature, with or without adjustability",Device,HCPCS,HCPCS,S,L5848,1,96,80,2011-05-09,2026-02-16
2719672,"Addition to lower extremity, long tongue stirrup",Device,HCPCS,HCPCS,S,L2265,1,96,88,2011-09-19,2025-12-18
2720151,"All lower extremity prosthesis, combination single axis ankle and flexible keel foot",Device,HCPCS,HCPCS,S,L5975,1,96,90,2010-11-04,2025-10-08
44786595,"Walking boot, non-pneumatic, with or without joints, with or without interface material, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L4387,1,95,95,2016-01-19,2026-01-30
2719887,"Hand orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3919,1,92,91,2009-09-14,2025-09-18
2719741,"Foot, insert, removable, molded to patient model, longitudinal arch support, each",Device,HCPCS,HCPCS,S,L3010,1,92,85,2010-02-11,2026-02-13
2720133,"Addition to lower extremity prosthesis, endoskeletal knee-shin system, microprocessor control feature, swing and stance phase, includes electronic sensor(s), any type",Device,HCPCS,HCPCS,S,L5856,1,90,74,2011-05-09,2026-02-16
2720138,"Addition, endoskeletal system, above knee, knee disarticulation or hip disarticulation, manual lock",Device,HCPCS,HCPCS,S,L5925,1,88,84,2012-04-11,2026-02-12
2720049,"Addition to lower extremity, suction suspension, above knee or knee disarticulation socket",Device,HCPCS,HCPCS,S,L5652,1,88,53,2010-12-16,2026-02-12
2615200,"Tubular dressing with or without elastic, any width, per linear yard",Device,HCPCS,HCPCS,S,A6457,1,87,80,2013-08-14,2025-11-13
2719673,"Addition to lower extremity, varus/valgus correction ('t') strap, padded/lined or malleolus pad",Device,HCPCS,HCPCS,S,L2270,1,87,86,2010-11-17,2026-02-13
2719675,"Addition to lower extremity, molded inner boot",Device,HCPCS,HCPCS,S,L2280,1,86,83,2015-08-17,2026-02-13
4038538,Breast implant,Device,SNOMED,Physical Object,S,2282003,2,86,81,1973-07-17,2025-02-11
2719889,"Hand finger orthosis, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3921,1,85,83,2012-10-04,2026-01-06
40658630,"Injection, gadofosveset trisodium, 1 ml",Device,HCPCS,HCPCS,S,A9583,1,85,81,2012-04-03,2017-04-25
2719728,"Addition to lower extremity orthosis, knee control, full kneecap",Device,HCPCS,HCPCS,S,L2795,1,84,80,2010-01-15,2025-08-20
2720426,"Prosthetic shrinker, upper limb, each",Device,HCPCS,HCPCS,S,L8465,1,83,59,2011-07-08,2025-12-18
2719897,"Hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specifi...",Device,HCPCS,HCPCS,S,L3929,1,82,81,2010-03-23,2024-03-28
2720232,"Upper extremity addition, heavy duty control cable",Device,HCPCS,HCPCS,S,L6660,1,81,51,2011-07-08,2025-09-24
2720144,"Addition, endoskeletal system, above knee, flexible protective outer surface covering system",Device,HCPCS,HCPCS,S,L5964,1,81,37,2010-03-22,2026-02-16
4306146,Tube,Device,SNOMED,Physical Object,S,83059008,9,78,77,1982-01-01,2025-11-27
2719745,"Foot, arch support, removable, premolded, longitudinal, each",Device,HCPCS,HCPCS,S,L3040,1,77,77,2012-01-04,2023-02-01
2719681,"Addition to lower extremity, pre-tibial shell, molded to patient model",Device,HCPCS,HCPCS,S,L2340,1,77,72,2010-02-11,2025-09-23
2720096,"Custom shaped protective cover, above knee",Device,HCPCS,HCPCS,S,L5705,1,76,46,2010-03-22,2026-02-16
2720154,"All lower extremity prosthesis, multi-axial ankle, dynamic response foot, one piece system",Device,HCPCS,HCPCS,S,L5979,1,73,64,2010-08-25,2025-07-22
2719769,"Orthopedic footwear, ladies shoe, depth inlay, each",Device,HCPCS,HCPCS,S,L3216,1,73,61,2010-03-08,2025-03-13
2719692,"Addition to knee joint, drop lock, each",Device,HCPCS,HCPCS,S,L2405,1,73,71,2010-05-06,2026-01-27
2719773,"Orthopedic footwear, mens shoe, depth inlay, each",Device,HCPCS,HCPCS,S,L3221,1,72,53,2010-01-12,2026-02-11
2720859,"Injection, octafluoropropane microspheres, per ml",Device,HCPCS,HCPCS,S,Q9956,1,72,72,2012-09-12,2026-01-21
2720313,"Addition to upper extremity prosthesis, glove for terminal device, any material, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L6890,1,71,46,2011-05-03,2025-09-03
4179206,Central venous catheter,Device,SNOMED,Physical Object,S,52124006,3,71,69,1986-11-30,2025-02-02
2616955,"Durable medical equipment, miscellaneous",Device,HCPCS,HCPCS,S,E1399,1,68,65,2010-08-26,2021-01-19
2719500,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid posterior frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panels, produces intracavitary pressure to reduce lo...",Device,HCPCS,HCPCS,S,L0633,1,68,68,2010-03-15,2019-10-02
2615288,"Tracheostomy/laryngectomy tube, stainless steel or equal (sterilizable and reusable), each",Device,HCPCS,HCPCS,S,A7522,1,67,53,2015-07-08,2025-12-10
2719598,"Knee orthosis, double upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, custom fabricated",Device,HCPCS,HCPCS,S,L1846,1,66,61,2009-12-31,2026-02-12
40664519,"Ankle foot orthosis, walking boot type, varus/valgus correction, rocker bottom, anterior tibial shell, soft interface, custom arch support, plastic or other material, includes straps and closures, custom fabricated",Device,HCPCS,HCPCS,S,L4631,1,65,61,2014-09-10,2025-11-21
1552589,"Gradient pressure wrap with adjustable straps, arm, each",Device,HCPCS,HCPCS,S,A6588,1,64,50,2024-08-01,2026-02-13
2720233,"Upper extremity addition, teflon, or equal, cable lining",Device,HCPCS,HCPCS,S,L6665,1,64,45,2011-07-08,2025-09-24
4124754,Graft,Device,SNOMED,Substance,S,260667007,37,63,57,1963-09-04,2024-05-04
2719903,"Finger orthosis, nontorsion joint, may include soft interface, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3935,1,63,61,2010-12-29,2024-10-16
2719732,"Addition to lower extremity orthosis, soft interface for molded plastic, above knee section",Device,HCPCS,HCPCS,S,L2830,1,63,59,2010-05-06,2025-11-19
2720121,"Addition, endoskeletal knee-shin system, single axis, pneumatic swing, friction stance phase control",Device,HCPCS,HCPCS,S,L5822,1,63,63,2010-03-22,2025-08-22
4025036,Scope AND/OR camera,Device,SNOMED,Physical Object,S,105794008,19,62,60,1982-01-01,2025-12-23
1781310,"New Technology, Anatomical Regions, Transfusion",Device,ICD10PCS,ICD10PCS Hierarchy,S,XW1,2,61,61,2020-05-15,2022-09-01
2862969,New Technology @ Anatomical Regions (Procedure),Procedure,ICD10PCS,ICD10PCS Hierarchy,S,XW,2,61,61,2020-05-15,2022-09-01
2719515,"Addition to halo procedure, replacement liner/interface material",Device,HCPCS,HCPCS,S,L0861,1,60,59,2009-11-18,2026-02-03
4290594,Endoscope,Device,SNOMED,Physical Object,S,37270008,18,60,58,1982-01-01,2025-12-23
4265605,Dialysis catheter,Device,SNOMED,Physical Object,S,397849009,4,59,59,1989-03-05,2024-04-08
2719694,"Addition to knee joint, disc or dial lock for adjustable knee flexion, each joint",Device,HCPCS,HCPCS,S,L2425,1,59,54,2010-10-05,2025-04-11
2720082,"Addition to lower extremity, below knee, waist belt, webbing",Device,HCPCS,HCPCS,S,L5688,1,59,58,2010-03-31,2025-12-05
2719726,"Addition to lower extremity orthosis, non-corrosive finish, per bar",Device,HCPCS,HCPCS,S,L2780,1,58,53,2013-01-10,2025-12-18
4118292,Gastrointestinal tube,Device,SNOMED,Physical Object,S,303699009,4,58,57,1991-04-01,2025-11-27
36803084,New Technology @ Anatomical Regions @ Transfusion @ Peripheral Vein @ Percutaneous,Procedure,ICD10PCS,ICD10PCS Hierarchy,S,XW133,1,56,56,2020-05-15,2022-09-01
36803116,New Technology @ Anatomical Regions @ Transfusion @ Peripheral Vein,Procedure,ICD10PCS,ICD10PCS Hierarchy,S,XW13,1,56,56,2020-05-15,2022-09-01
36803367,"New Technology @ Anatomical Regions @ Transfusion @ Peripheral Vein @ Percutaneous @ Plasma, Convalescent (Nonautologous)",Procedure,ICD10PCS,ICD10PCS Hierarchy,S,XW1332,1,56,56,2020-05-15,2022-09-01
1781311,"Transfusion of Convalescent Plasma (Nonautologous) into Peripheral Vein, Percutaneous Approach, New Technology Group 5",Device,ICD10PCS,ICD10PCS,S,XW13325,1,56,56,2020-05-15,2022-09-01
2721863,"Contact lens, hydrophilic, toric, or prism ballast, per lens",Device,HCPCS,HCPCS,S,V2521,1,56,42,2010-03-17,2013-02-21
2719899,"Wrist hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3931,1,56,56,2010-01-29,2024-03-26
4126848,Biological surgical material,Device,SNOMED,Substance,S,260992007,32,56,50,1963-09-04,2024-05-04
4186728,Body tissue surgical material,Device,SNOMED,Substance,S,413677009,34,55,50,1963-09-04,2024-05-04
4130396,Tissue graft - material,Device,SNOMED,Substance,S,261571005,34,55,50,1963-09-04,2024-05-04
2719743,"Foot, insert, removable, formed to patient foot, each",Device,HCPCS,HCPCS,S,L3030,1,54,54,2010-04-02,2026-01-20
2720236,"Upper extremity addition, harness, (e.g., figure of eight type), single cable design",Device,HCPCS,HCPCS,S,L6675,1,54,34,2011-07-08,2025-09-24
4125341,Gastrointestinal device,Device,SNOMED,Physical Object,S,303626008,11,53,52,1990-05-14,2025-12-23
2615139,"Hydrogel dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Device,HCPCS,HCPCS,S,A6242,1,52,51,2009-12-08,2012-10-11
4117754,Urogenital device,Device,SNOMED,Physical Object,S,303620002,12,50,48,1962-03-27,2024-07-22
2719423,"Cervical, semi-rigid, wire frame occipital/mandibular support, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L0160,1,50,49,2011-12-21,2025-11-25
937588,"Elbow orthosis (eo), with adjustable position locking joint(s), prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L3761,1,50,46,2018-05-25,2026-01-05
2615172,"Adhesive bandage, first-aid type, any size, each",Device,HCPCS,HCPCS,S,A6413,1,49,49,2011-09-20,2026-02-09
4022834,Life support equipment,Device,SNOMED,Physical Object,S,105784003,7,48,47,1990-03-31,2024-12-20
2615123,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size more than 16 sq. in., but less than or equal to 48 sq. in., without adhesive border, each dressing",Device,HCPCS,HCPCS,S,A6223,1,48,39,2012-02-03,2024-11-06
2719498,"Lumbar-sacral orthosis, sagittal control, with rigid anterior and posterior panels, posterior extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, m...",Device,HCPCS,HCPCS,S,L0631,1,48,48,2011-04-15,2024-06-26
2719915,"Shoulder elbow wrist hand orthosis, abduction positioning, airplane design, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3960,1,45,45,2011-03-07,2025-11-24
2720857,"Oral magnetic resonance contrast agent, per 100 ml",Device,HCPCS,HCPCS,S,Q9954,1,44,43,2009-12-23,2012-05-11
2615229,"Gradient compression wrap, non-elastic, below knee, 30-50 mmhg, used as a surgical dressing, each",Device,HCPCS,HCPCS,S,A6545,1,44,40,2016-02-12,2025-06-09
2719722,"Addition to lower extremity orthosis, high strength, lightweight material, all hybrid lamination/prepreg composite, per segment, for custom fabricated orthosis only",Device,HCPCS,HCPCS,S,L2755,1,44,42,2013-01-10,2026-02-13
4078929,Defibrillator,Device,SNOMED,Physical Object,S,19257004,4,44,44,1990-03-31,2024-12-20
2615224,"Gradient compression stocking, waist length, 30-40 mmhg, each",Device,HCPCS,HCPCS,S,A6540,1,43,27,2016-03-01,2025-08-07
2719668,"Addition to lower extremity orthosis, rocker bottom for total contact ankle foot orthosis, for custom fabricated orthosis only",Device,HCPCS,HCPCS,S,L2232,1,43,41,2010-02-11,2025-09-23
4261266,Drug-device combination product,Device,SNOMED,Pharma/Biol Product,S,411115002,3,42,38,2004-10-05,2022-12-09
40658517,"Injection, non-radioactive, non-contrast, visualization adjunct (e.g., methylene blue, isosulfan blue), 1 mg",Device,HCPCS,HCPCS,S,Q9968,1,42,35,2010-07-23,2024-06-07
2720423,"Prosthetic sock, multiple ply, upper limb, each",Device,HCPCS,HCPCS,S,L8435,1,42,33,2011-07-08,2025-09-24
1552572,"Gradient compression garment, neck/head, each",Device,HCPCS,HCPCS,S,A6566,1,42,41,2024-12-10,2026-02-12
2720209,"Upper extremity addition, additional disconnect insert for locking wrist unit, each",Device,HCPCS,HCPCS,S,L6616,1,42,37,2011-07-08,2025-09-22
2720366,"Upper extremity prosthesis, not otherwise specified",Device,HCPCS,HCPCS,S,L7499,1,42,23,2012-06-29,2026-01-05
953251,"Hearing aid, contralateral routing system, binaural, bte/bte",Device,HCPCS,HCPCS,S,V5221,1,42,42,2019-07-15,2026-02-05
4105678,Flap,Device,SNOMED,Substance,S,256683004,25,42,37,1992-07-01,2021-03-30
2720259,"Terminal device, hook, mechanical, voluntary opening, any material, any size, lined or unlined",Device,HCPCS,HCPCS,S,L6706,1,41,38,2011-07-08,2025-09-24
2721858,"Contact lens, gas permeable, spherical, per lens",Device,HCPCS,HCPCS,S,V2510,1,41,32,2010-01-07,2013-02-14
4128004,Surgical material,Device,SNOMED,Substance,S,289964002,18,40,36,1963-09-04,2024-05-04
2720234,"Upper extremity addition, hook to hand, cable adapter",Device,HCPCS,HCPCS,S,L6670,1,40,36,2011-07-08,2025-09-22
4234440,Intraluminal vascular device,Device,SNOMED,Physical Object,S,360044008,2,40,38,1991-01-20,2022-06-11
4161814,Peripherally inserted central catheter,Device,SNOMED,Physical Object,S,398176008,1,39,39,1995-03-27,2025-02-02
2719695,"Addition to knee joint, ratchet lock for active and progressive knee extension, each joint",Device,HCPCS,HCPCS,S,L2430,1,39,38,2010-12-09,2025-11-10
2720369,"Repair prosthetic device, labor component, per 15 minutes",Device,HCPCS,HCPCS,S,L7520,1,39,24,2010-11-04,2024-04-17
2720429,"Prosthetic sock, single ply, fitting, upper limb, each",Device,HCPCS,HCPCS,S,L8485,1,38,33,2011-07-08,2025-09-24
2720261,"Terminal device, hand, mechanical, voluntary opening, any material, any size",Device,HCPCS,HCPCS,S,L6708,1,38,34,2011-07-08,2025-09-22
2720243,"Upper extremity addition, frame type socket, below elbow or wrist disarticulation",Device,HCPCS,HCPCS,S,L6687,1,38,25,2011-07-08,2025-09-24
4258232,Drug coated stent,Device,SNOMED,Pharma/Biol Product,S,411114003,2,37,33,2004-10-05,2022-05-13
2719618,"Ankle foot orthosis, plastic, rigid anterior tibial section (floor reaction), custom fabricated",Device,HCPCS,HCPCS,S,L1945,1,37,30,2010-01-15,2025-10-29
2720363,"Addition to upper extremity prosthesis, below elbow/wrist disarticulation, acrylic material",Device,HCPCS,HCPCS,S,L7403,1,37,25,2011-07-08,2025-09-24
4027872,Monitor,Device,SNOMED,Physical Object,S,13288007,3,37,36,1993-10-01,2019-08-31
45761918,Electrocardiographic monitor,Device,SNOMED,Physical Object,S,468281001,2,36,35,1993-10-01,2013-08-18
45765560,Cardiovascular monitor,Device,SNOMED,Physical Object,S,702527008,2,36,35,1993-10-01,2013-08-18
4131681,Drug eluting stent,Device,SNOMED,Pharma/Biol Product,S,411191007,1,36,32,2004-10-05,2022-05-13
2616491,"Walker, folding, wheeled, adjustable or fixed height",Device,HCPCS,HCPCS,S,E0143,1,36,36,2023-03-08,2025-10-29
2720360,"Addition to upper extremity prosthesis, below elbow/wrist disarticulation, ultralight material (titanium, carbon fiber or equal)",Device,HCPCS,HCPCS,S,L7400,1,36,24,2011-07-08,2025-09-24
2719693,"Addition to knee lock with integrated release mechanism (bail, cable, or equal), any material, each joint",Device,HCPCS,HCPCS,S,L2415,1,36,33,2011-12-28,2026-01-27
2615072,"For diabetics only, fitting (including follow-up), custom preparation and supply of shoe molded from cast(s) of patient's foot (custom molded shoe), per shoe",Device,HCPCS,HCPCS,S,A5501,1,36,34,2010-08-31,2025-01-30
2720239,"Upper extremity addition, test socket, wrist disarticulation or below elbow",Device,HCPCS,HCPCS,S,L6680,1,36,24,2011-07-08,2025-09-24
4252565,Recorder,Device,SNOMED,Physical Object,S,74108008,2,35,34,1993-10-01,2018-04-19
4313572,Electrocardiographic monitor and recorder,Device,SNOMED,Physical Object,S,86184003,1,34,33,1993-10-01,2013-08-01
4185151,Carotid artery stent,Device,SNOMED,Physical Object,S,413766009,1,34,32,1993-07-31,2023-08-22
4197813,Physiologic monitoring system,Device,SNOMED,Physical Object,S,5159002,1,34,33,1993-10-01,2013-08-01
2614865,"Surgical dressing holder, non-reusable, each",Device,HCPCS,HCPCS,S,A4461,1,34,30,2011-09-30,2019-08-28
2720240,"Upper extremity addition, test socket, elbow disarticulation or above elbow",Device,HCPCS,HCPCS,S,L6682,1,34,20,2011-07-13,2025-09-22
2720364,"Addition to upper extremity prosthesis, above elbow disarticulation, acrylic material",Device,HCPCS,HCPCS,S,L7404,1,34,22,2011-07-13,2025-09-22
1552551,"Gradient compression garment, arm, padded, for nighttime use, each",Device,HCPCS,HCPCS,S,A6522,1,34,34,2024-01-23,2026-02-09
2720208,"Upper extremity addition, disconnect locking wrist unit",Device,HCPCS,HCPCS,S,L6615,1,34,30,2011-08-19,2025-09-22
2720442,"Gelatin capsule, application device for use with tracheoesophageal voice prosthesis, each",Device,HCPCS,HCPCS,S,L8515,1,33,28,2015-03-12,2024-04-18
2719997,"Immediate post surgical or early fitting, application of initial rigid dressing, including fitting, alignment, suspension, and one cast change, below knee",Device,HCPCS,HCPCS,S,L5400,1,33,33,2010-01-06,2024-12-03
2615109,"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Device,HCPCS,HCPCS,S,A6209,1,33,33,2010-08-02,2026-01-27
2719691,"Addition to lower extremity orthosis, suspension sleeve",Device,HCPCS,HCPCS,S,L2397,1,33,33,2023-04-12,2025-08-20
2720361,"Addition to upper extremity prosthesis, above elbow disarticulation, ultralight material (titanium, carbon fiber or equal)",Device,HCPCS,HCPCS,S,L7401,1,33,21,2011-07-13,2025-09-22
40490845,Vagal nerve stimulator,Device,SNOMED,Physical Object,S,447033006,1,32,32,1999-02-17,2023-05-31
2720250,"Addition to upper extremity prosthesis, below elbow/above elbow, custom fabricated from existing mold or prefabricated, socket insert, silicone gel, elastomeric or equal, for use with locking mechanism",Device,HCPCS,HCPCS,S,L6694,1,32,15,2012-02-14,2024-10-17
2720244,"Upper extremity addition, frame type socket, above elbow or elbow disarticulation",Device,HCPCS,HCPCS,S,L6688,1,32,19,2011-07-13,2025-09-22
4120646,Musculoskeletal implant,Device,SNOMED,Physical Object,S,303503009,15,32,29,1955-06-15,2020-04-30
45773549,"Ear, nose and throat device",Device,SNOMED,Physical Object,S,705288005,6,31,29,1974-05-08,2024-11-27
4095054,Feeding tube,Device,SNOMED,Physical Object,S,25062003,2,31,31,2006-08-31,2025-11-27
2719844,"Elbow orthosis, double upright with forearm/arm cuffs, extension/ flexion assist, custom fabricated",Device,HCPCS,HCPCS,S,L3730,1,31,31,2010-01-04,2015-03-20
2720213,"Upper extremity addition, flexion/extension and rotation wrist unit",Device,HCPCS,HCPCS,S,L6624,1,31,26,2011-07-08,2025-09-22
2719788,"Lift, elevation, heel, tapered to metatarsals, per inch",Device,HCPCS,HCPCS,S,L3300,1,31,30,2010-10-07,2025-07-06
2720032,"Addition to lower extremity, symes type, 'ptb' brim design socket",Device,HCPCS,HCPCS,S,L5632,1,31,25,2011-04-20,2024-07-02
2720368,"Repair of prosthetic device, repair or replace minor parts",Device,HCPCS,HCPCS,S,L7510,1,30,24,2010-02-18,2025-09-22
2615116,"Gauze, non-impregnated, non-sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Device,HCPCS,HCPCS,S,A6216,1,30,28,2011-01-19,2025-11-19
2719851,"Elbow wrist hand finger orthosis, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3766,1,30,27,2013-04-01,2017-11-22
4046730,Laser device,Device,SNOMED,Physical Object,S,122456005,4,30,28,2005-01-29,2023-01-01
4150035,Peritoneal catheter,Device,SNOMED,Physical Object,S,31030004,4,28,28,1993-07-12,2021-07-21
2720793,"Apligraf, per square centimeter",Device,HCPCS,HCPCS,S,Q4101,1,28,8,2010-01-22,2012-07-20
45890600,"Vacuum drainage collection unit and tubing kit, including all supplies needed for collection unit change, for use with implanted catheter, each",Device,HCPCS,HCPCS,S,A7048,1,28,23,2016-11-04,2025-12-05
2719670,"Addition to lower extremity, foot plate, molded to patient model, stirrup attachment",Device,HCPCS,HCPCS,S,L2250,1,28,26,2011-11-18,2025-12-02
2720868,"Low osmolar contrast material, 100-199 mg/ml iodine concentration, per ml",Device,HCPCS,HCPCS,S,Q9965,1,28,28,2010-01-06,2013-11-13
2721394,"Gradient pressure aid (sleeve), custom made, medium weight",Device,HCPCS,HCPCS,S,S8422,1,27,22,2016-03-09,2023-12-21
2719873,"Wrist hand orthosis, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3905,1,27,27,2009-03-27,2025-09-11
2720146,"Addition to lower limb prosthesis, multiaxial ankle with swing phase active dorsiflexion feature",Device,HCPCS,HCPCS,S,L5968,1,27,25,2014-05-12,2025-12-12
45767880,Gastrointestinal endoscope,Device,SNOMED,Physical Object,S,705509004,7,26,25,1996-01-20,2025-12-23
4117595,Auditory implant,Device,SNOMED,Physical Object,S,303500007,4,26,24,1974-05-08,2021-04-15
4008499,Implantable venous catheter,Device,SNOMED,Physical Object,S,102318003,1,26,24,1999-05-25,2022-06-11
4134858,Implantable venous access port,Device,SNOMED,Physical Object,S,398013009,1,26,24,1999-05-25,2022-06-11
4144223,Sharp instrument,Device,SNOMED,Physical Object,S,33690005,7,25,21,2003-07-08,2025-10-24
4236069,Peritoneal dialysis catheter,Device,SNOMED,Physical Object,S,360132007,3,25,25,1993-07-12,2021-07-21
4148230,Ostomy appliance,Device,SNOMED,Physical Object,S,35398009,2,25,25,1990-05-14,2024-04-11
40658837,"Addition to upper extremity joint, wrist or elbow, concentric adjustable torsion style mechanism for custom fabricated orthotics only, each",Device,HCPCS,HCPCS,S,L3891,1,24,24,2015-05-18,2017-08-22
45763425,Gastrostomy tube,Device,SNOMED,Physical Object,S,470571004,1,24,24,1991-04-01,2024-04-11
45767778,Gastrointestinal ostomy tube,Device,SNOMED,Physical Object,S,705335002,1,24,24,1991-04-01,2024-04-11
45768081,Orthopedic fixation system,Device,SNOMED,Physical Object,S,705904002,10,24,24,1955-06-15,2020-04-30
45769817,Eating and/or drinking device,Device,SNOMED,Physical Object,S,708546004,1,24,24,1991-04-01,2024-04-11
45771500,Eating/Drinking assistive device,Device,SNOMED,Physical Object,S,705383004,1,24,24,1991-04-01,2024-04-11
4208804,Provision of foot orthosis,Procedure,SNOMED,Procedure,S,312346007,4,24,23,2010-05-27,2025-05-07
4106136,Fixator,Device,SNOMED,Physical Object,S,257296003,10,24,24,1955-06-15,2020-04-30
2720249,"Upper extremity addition, locking elbow, forearm counterbalance",Device,HCPCS,HCPCS,S,L6693,1,24,19,2011-07-13,2025-09-22
2720359,"Lithium ion battery charger, replacement only",Device,HCPCS,HCPCS,S,L7368,1,24,20,2012-01-24,2025-08-20
605931,Assistive device,Device,SNOMED,Physical Object,S,1141802005,1,24,24,1991-04-01,2024-04-11
4129555,Jejunostomy tube,Device,SNOMED,Physical Object,S,126065006,1,24,24,2011-02-24,2025-11-27
4124783,Material,Observation,SNOMED,Substance,S,260769002,7,23,19,1982-12-28,2024-05-04
4194531,Needle,Device,SNOMED,Physical Object,S,79068005,5,23,19,2003-08-19,2025-10-24
2615134,"Hydrocolloid dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Device,HCPCS,HCPCS,S,A6237,1,23,21,2012-06-06,2013-04-18
2720164,"Addition to lower extremity prosthesis, user adjustable heel height",Device,HCPCS,HCPCS,S,L5990,1,23,19,2012-01-24,2025-09-19
4106959,Flexible endoscope,Device,SNOMED,Physical Object,S,257216002,6,23,22,1996-01-20,2025-12-23
4232823,Suction equipment,Device,SNOMED,Physical Object,S,360295003,5,22,18,2003-08-19,2018-06-19
2720446,"Injectable bulking agent, synthetic implant, urinary tract, 1 ml syringe, includes shipping and necessary supplies",Device,HCPCS,HCPCS,S,L8606,1,22,14,2011-08-19,2015-08-18
4040747,Carbon dioxide laser device,Device,SNOMED,Physical Object,S,118312003,1,22,20,2005-01-29,2023-01-01
4041446,Gas laser device,Device,SNOMED,Physical Object,S,118295004,1,22,20,2005-01-29,2023-01-01
2719495,"Lumbar-sacral orthosis, flexible, provides lumbo-sacral support, posterior extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include stays, s...",Device,HCPCS,HCPCS,S,L0628,1,22,19,2011-01-06,2025-04-30
2615146,"Skin sealants, protectants, moisturizers, ointments, any type, any size",Device,HCPCS,HCPCS,S,A6250,1,22,22,2020-12-04,2026-01-05
2615204,"Compression burn garment, glove to wrist, custom fabricated",Device,HCPCS,HCPCS,S,A6504,1,22,19,2012-07-10,2016-01-29
